service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
BDF,0,0,0,0,0,0,1,20250908,20260801
CDF,0,0,0,0,0,0,1,20250908,20260801
DDF,0,0,0,0,0,0,1,20250908,20260801
FDF,0,0,0,0,0,0,1,20250908,20260801
EDF,0,0,0,0,0,0,1,20250908,20260801
ADF,0,0,0,0,0,0,1,20250908,20260801
BS,0,0,0,0,0,1,0,20250908,20260801
CS,0,0,0,0,0,1,0,20250908,20260801
DS,0,0,0,0,0,1,0,20250908,20260801
FS,0,0,0,0,0,1,0,20250908,20260801
ES,0,0,0,0,0,1,0,20250908,20260801
AS,0,0,0,0,0,1,0,20250908,20260801
BU,1,1,1,1,1,0,0,20250908,20260801
BexpU,1,1,1,1,1,0,0,20250908,20260801
CU,1,1,1,1,1,0,0,20250908,20260801
DU,1,1,1,1,1,0,0,20250908,20260801
FU,1,1,1,1,1,0,0,20250908,20260801
EU,1,1,1,1,1,0,0,20250908,20260801
AU,1,1,1,1,1,0,0,20250908,20260801
